"Extension","Description","Category","Format","Programming Language","Program Support"
".php","A PHP file is a webpage that contains PHP (Hypertext Preprocessor) code. It may include PHP functions that can process online forms, get the date and time, or access information from a database, such as a MySQL database.","Web Files","Text","PHP","File Viewer Plus, Adobe Dreamweaver 2020, Eclipse PHP Development Tools, Zend Studio, MPSoftware phpDesigner, ES-Computing EditPlus, Blumentals WeBuilder, Notepad++, Other text editor, Apache Web Server with PHP, WampServer, Any Web browser, MacroMates TextMate, Bare Bones BBEdit, MAMP, Chocolat, Sublime Text, Alexander Blach Textastic Code Editor, Firas Moussa phpwin, File Viewer for Android"
".html","An HTML file contains Hypertext Markup Language (HTML), which is used to format the structure of a webpage. It is stored in a standard text format and contains tags that define the page layout and content of the webpage, including the text, tables, images, and hyperlinks displayed on the webpage. HTML files are widely used online and displayed in web browsers.","Web Files","Text","HTML","File Viewer Plus, Any web browser, Microsoft Visual Studio Code, W3C Amaya, Adobe Dreamweaver 2020, Adobe ColdFusion Builder, Microsoft Visual Studio 2019, Blumentals WeBuilder, KompoZer, Notepad++, Any text editor, SCREEM, Fornace Espresso HTML, Alexander Blach Textastic Code Editor, File Viewer for Android, Google Chrome Text"
".txt","A TXT file is a standard text document that contains plain text. It can be opened and edited in any text-editing or word-processing program. TXT files are most often created by Microsoft Notepad and Apple TextEdit, which are basic text editors that come bundled with Windows and macOS, respectively.","Text Files","Text","Text","File Viewer Plus, Microsoft Notepad, Microsoft WordPad, Microsoft Word 365, Corel WordPerfect 2020, Helios TextPad, Notepad++, Notepad2, Geany, Other text editor, Apple TextEdit, Bare Bones BBEdit, MacroMates TextMate, Wondershare PDFelement, Leafpad, gedit, KWrite, Online TXT Reader, Apple Pages, Microsoft Office, Microsoft Word, MobiSystems OfficeSuite Pro, Infraware Polaris Office, File Viewer for Android, Kingsoft WPS Office for Android, Rhythm Software QuickEdit text editor, Aquamarine Networks Jota Text Editor, Google Chrome Text"
".htm","An HTM file is an HTML webpage used by web browsers, such as Google Chrome, Microsoft Edge, and Mozilla Firefox. It may contain hyperlinks and markup language, which defines the elements and layout of a webpage.","Web Files","Text","HTML","File Viewer Plus, Any web browser, Microsoft Visual Studio Code, Adobe Dreamweaver 2020, Adobe ColdFusion Builder, Microsoft Visual Studio 2019, Microsoft Notepad, Any text editor, Any Web browser, File Viewer for Android"
".aspx","An ASPX file is an Active Server Page Extended (ASPX) file, which is a webpage generated by web servers running the Microsoft ASP.NET framework. It contains one or more scripts written in VBScript or C# code that are processed by the web server into HTML, which is sent to the user's web browser. ASPX files are often written with Microsoft Visual Web Developer and designed for the Microsoft ASP.NET framework.","Web Files","Text","ASP","File Viewer Plus, Microsoft Visual Studio 2019, ES-Computing EditPlus, Adobe Dreamweaver 2020, Any Web browser, File Viewer for Android"
".asp","An ASP file is a webpage created by a web developer that resides on a web server and may contain scripts written in VBScript or JavaScript. It is parsed on the server, which generates HTML that is sent to the client's browser. ASP files are commonly used by ASP.NET sites and websites hosted on Windows servers running Microsoft IIS.","Web Files","Text","ASP","File Viewer Plus, Any Web browser, Any text editor, Microsoft IIS, Adobe Dreamweaver 2020, Adobe Fireworks — Discontinued, Microsoft Visual Studio 2019, Microsoft Visual Studio Code, ES-Computing EditPlus, Adobe Photoshop 2021, Adobe Illustrator 2021, Adobe Acrobat DC"
".js","A JS file is a text file containing JavaScript code that is used to execute JavaScript instructions in webpages. It may include functions that open and close windows, validate form fields, enable rollover images, or create dropdown menus.","Web Files","Text","JavaScript","File Viewer Plus, Adobe Dreamweaver 2020, Adobe ColdFusion Builder, Microsoft Visual Studio 2019, Microsoft Visual Studio Code, Jetbrains IntelliJ IDEA, ES-Computing EditPlus, Github Atom, Any text editor, Any web browser, Apple Dashcode, Bare Bones BBEdit, MacroMates TextMate, File Viewer for Android, Windows-based script host (Wscript.exe)"
".css","A CSS file is a cascading style sheet (CSS) file used to format the contents of a webpage. It contains customized, global properties for how to display HTML elements. CSS files can define the size, color, font, line spacing, indentation, borders, and location of HTML elements.","Web Files","Text","CSS","File Viewer Plus, Adobe Dreamweaver 2020, Adobe ColdFusion Builder, Microsoft Visual Studio 2019, Blumentals WeBuilder, PSPad, Notepad++, Other text editor, Any Web browser, Apple TextEdit, Microsoft Visual Studio Code, Alexander Blach Textastic Code Editor, File Viewer for Android"
".pdf","A PDF file is a multi-platform document created by Adobe Acrobat or another PDF application. The PDF format is commonly used for saving documents and publications in a standard format that can be viewed on multiple platforms. In many cases, PDF files are created from existing documents instead of from scratch.","Page Layout Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Adobe Acrobat DC, Adobe Acrobat Reader DC, Microsoft Edge, Microsoft Word 365, Nitro Pro, Foxit Reader, IMSI TurboPDF, Corel WordPerfect 2020, LibreOffice, Google Chrome, Mozilla Firefox, Icecream PDF Converter, Apple Preview, Wondershare PDFelement, Apple Safari, Smile PDFpenPro, Solid PDF to Word, KDE Okular, Evince, PDFedit, Google Drive, Microsoft OneDrive, Sedja PDF Editor, Apple Books, Apple Pages, Adobe Acrobat Reader, Infraware Polaris Office, Good.iWare GoodReader, MobiSystems OfficeSuite Pro, File Viewer for Android, Google Play Books, Kingsoft WPS Office for Android"
".cgi","A CGI file is a Common Gateway Interface (CGI) script that is executed by a web server to create dynamic pages. It is typically written in Perl or C programming languages. CGI scripts are often stored in the ""cgi-bin"" folder within a website directory on a web server and can only be edited if they are not pre-compiled.","Executable Files","Text and Binary","Shell","File Viewer Plus, Richardson EditRocket, Microsoft Notepad, gVim, Other text editor, Bare Bones BBEdit, MacroMates TextMate"
".inc","Text file containing declarations, headers, functions, or other data referenced by a program's source code; can be used with C/C++, Pascal, Java, PHP (Web pages), and other languages.","Developer Files","Text","SourcePawn","File Viewer Plus, Microsoft Visual Studio 2019, Adobe Dreamweaver 2020, Any text editor, MacroMates TextMate, Bare Bones BBEdit, Other text editor, GNU Emacs, Vim, Ghisler Total Commander, Microsoft Notepad, Apple TextEdit"
".gif","A GIF file is an image file saved in the Graphical Interchange Format (GIF). It may contain up to 256 indexed colors with a color palette that may be a predefined set of colors or may be adapted to the colors in the image. GIF files are saved in a lossless format, meaning the clarity of the image is not compromised with GIF compression.","Raster Image Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Microsoft Photos, Microsoft Windows Photo Viewer, Microsoft Paint, Adobe Photoshop 2021, Adobe Photoshop Elements 2020, Adobe Illustrator 2021, CorelDRAW Graphics Suite 2021, Corel PaintShop Pro, Canvas X, ACD Systems ACDSee Photo Studio, Other image viewer or web browser, Apple Preview, Apple Safari, GIMP, Google Photos, Google Drive, File Viewer for Android"
".jpg","A JPG file is an image saved in a compressed image format standardized by the Joint Photographic Experts Group (JPEG). It is commonly used for storing digital photos and used by most digital cameras to save images. JPG files are among the most common image files, along with .PNG, .TIF, and .GIF.","Raster Image Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Microsoft Photos, Microsoft Windows Photo Viewer, Microsoft OneDrive, Microsoft Paint, Adobe Photoshop 2021, Adobe Photoshop Elements 2020, CorelDRAW Graphics Suite 2021, Corel PaintShop Pro, ACD Systems ACDSee Photo Studio, Any picture viewer, Any web browser, Apple Preview, Apple Photos, ACD Systems ACDSee Photo Studio for Mac, MacPhun ColorStrokes, GIMP, Shotwell, Google Drive, Google Photos, Apple iCloud Photos, Pixelmator 2, Adobe Photoshop Express, File Viewer for Android, Google Chrome, Apowersoft Phone Manager, Chrome OS"
".swf","An SWF file is an animation that may contain text, vector and raster graphics, and interactive content written in ActionScript. It is saved in the Adobe Flash format, which was discontinued by Adobe on December 31, 2020.","Video Files","Binary","Not Found","Adobe Flash Player — Discontinued, Eltima SWF & FLV Player, Eltima Flash Decompiler Trillix, Xilisoft Video Converter Ultimate, GRETECH GOM Player, Media Player Classic, SWF File Player, Newgrounds Flash Player, Eltima Elmedia Player, Eltima Flash Optimizer, BIT LABS SWF Player"
".xml","An XML file is an XML (Extensible Markup Language) data file. It contains a formatted dataset that is intended to be processed by a website, web application, or software program. XML files can be thought of as text-based databases.","Data Files","XML","XML","File Viewer Plus, Altova XMLSpy, Microsoft Visual Studio 2019, SyncRO Soft oXygen XML Editor, Liquid Technologies Liquid XML Studio, Progress Stylus Studio, JAPISoft EditiX, Wattle XMLwriter, Microsoft XML Notepad, XMLBlueprint XML Editor, Adobe Dreamweaver 2020, Any text editor, Any web browser, Bare Bones BBEdit, MacroMates TextMate, SCREEM, Alexander Blach Textastic Code Editor, File Viewer for Android, Cinelerra"
".cfm","A CFM file is a webpage that contains ColdFusion code, or CFML (ColdFusion Markup Language). It is dynamically executed by a ColdFusion web server when the page is accessed by a user. CFM files can run ColdFusion applications and scripts written in CFScript and may reference database information, generate forms, and create PDF reports on the fly.","Web Files","Text","ColdFusion","File Viewer Plus, Adobe ColdFusion 2018, Adobe ColdFusion Builder, Adobe Dreamweaver 2020, New Atlanta BlueDragon, Railo, Microsoft Visual Studio Code, Sublime Text, Any Web browser, Any text editor"
".xhtml","An XHTML file is a web page written in XHTML, a reformulation of HTML 4 as an XML 1.0 application. It uses standard HTML tags, but must conform to more strict XML guidelines.","Web Files","XML","HTML","File Viewer Plus, Microsoft Internet Explorer, Mozilla Firefox, Other Web browser, Adobe Dreamweaver 2020, Adobe ColdFusion Builder, Apple Safari, File Viewer for Android"
".wmv","A WMV file is a video stored in the Microsoft Advanced Systems Format (ASF) and compressed with Windows Media Video compression. It is meant to be played in Microsoft media players, such as Windows Media Player and Microsoft Movies & TV. WMV files may be encrypted for use with Digital Rights Management (DRM) systems.","Video Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Microsoft Movies & TV, Microsoft Windows Media Player, VideoLAN VLC media player, Nullsoft Winamp, CyberLink PowerDVD 20, CyberLink PowerDirector 365, Audials One 2019, Roxio Creator NXT Pro 7, Xilisoft Video Converter Ultimate, Kodi, Web browser with the Windows Media Player plug-in, Eltima Elmedia Player, ShedWorx Smart Converter, Google Drive, Macca Studios WMV Player, olimsoft OPlayer, PentaLoop PlayerXtreme Media Player, VideoLAN VLC for Mobile, J2 Interactive MX Player, Videolabs VLC for Android"
".zip","A ZIP file is an archive that contains one or more files compressed or ""zipped"" using Zip compression. It stores files separately from each other allowing the files to be compressed using different methods and extracted without compressing or decompressing the entire archive.","Compressed Files","Zip","Not Found","File Viewer Plus — Get it from Microsoft, Microsoft File Explorer, Corel WinZip, RARLAB WinRAR, PeaZip, ConeXWare PowerArchiver, Smith Micro StuffIt Deluxe, 7-Zip, B1 Free Archiver, Apple Archive Utility, Corel WinZip Mac, Smith Micro StuffIt Deluxe Mac 16, Incredible Bee Archiver, The Unarchiver, Keka, funzip, p7zip, File Roller, Corel WinZip for iOS, Pengui Zhao Zip & RAR File Extractor, ComcSoft Corporation iZip, File Viewer for Android, Corel WinZip for Android, RARLAB RAR, ZDevs ZArchiver, Chrome OS, MAME, ExtraMAME, MacMAME, MAME OS X"
".axd","An AXD file is a file used by ASP.NET applications for handling embedded resource requests. It contains instructions for retrieving embedded resources, such as images, JavaScript (.JS) files, and .CSS files. AXD files are used for injecting resources into the client-side webpage and access them on the server in a standard way.","Web Files","Binary","ASP","Microsoft Visual Studio 2019"
".gz","A GZ file is an archive file compressed by the standard GNU zip (gzip) compression algorithm. It contains a compressed collection of one or more files and is commonly used on Unix operating systems for file compression.","Compressed Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Smith Micro StuffIt Deluxe, Corel WinZip, RARLAB WinRAR, 7-Zip, PeaZip, Smith Micro StuffIt Deluxe Mac 16, Corel WinZip Mac, Incredible Bee Archiver, Apple Archive Utility, gzip, Xarchive, Ark, File Viewer for Android, RARLAB RAR"
".png","A PNG file is an image saved in the Portable Network Graphic (PNG) format. It contains a bitmap compressed with lossless compression similar to a .GIF file. PNG files are commonly used to store web graphics, digital photographs, and images with transparent backgrounds.","Raster Image Files","Binary","Not Found","File Viewer Plus, Microsoft Photos, Microsoft Windows Photo Viewer, Microsoft Paint, Microsoft Paint 3D, Adobe Photoshop 2021, Adobe Photoshop Elements 2020, Adobe Illustrator 2021, CorelDRAW Graphics Suite 2021, Corel PaintShop Pro, ACD Systems ACDSee Photo Studio, Canvas X, Roxio Creator NXT Pro 7, Other picture viewer, Other Web browser, Apple Preview, Apple Photos, Apple Safari, Roxio Toast 18, MacPhun ColorStrokes, GIMP, Google Photos, Google Drive, Microsoft OneDrive, Pixelmator 2, Adobe Photoshop Express, File Viewer for Android"
".doc","A DOC file is a word processing document created by Microsoft Word or exported by another word processing program, such as OpenOffice Writer or Apple Pages. It may contain formatted text, images, tables, graphs, charts, page formatting, and print settings.","Text Files","Binary","Not Found","File Viewer Plus, Microsoft Word 365, Corel WordPerfect 2020, OpenOffice Writer, Kingsoft WPS Office, SoftMaker Office, LibreOffice, Microsoft Wordpad, Apple Pages, Planamesa NeoOffice, Google Docs, Google Drive, Microsoft OneDrive, Dropbox, Microsoft Office, Microsoft Word, Infraware Polaris Office, MobiSystems OfficeSuite Pro, File Viewer for Android, SoftMaker Office HD: TextMaker BASIC, Kingsoft WPS Office for Android, Microsoft WordPad"
".shtml","An SHTML file is a webpage written in HTML that contains server-side includes. It is processed (or parsed) by a web server before being sent to a user's browser. SHTML files can reference other files on the server, e.g. header.shtml or _footer.shtml.","Web Files","Text","Not Found","Adobe Dreamweaver 2020, Microsoft Visual Studio 2019, Oracle NetBeans, Any web browser, Any text editor"
