"Extension","Category","Format"
".php","text/x-php","PHP script"
".html","text/html","HyperText Markup Language"
".txt","text/plain",""
".htm","text/html","HyperText Markup Language"
".aspx","text/aspdotnet","ASP .NET"
".asp","text/asp","Active Server Page"
".js","application/javascript","JavaScript Source Code"
".css","text/css","Cascading Style Sheet"
".pdf","application/pdf","Portable Document Format"
".cgi","text/x-cgi","CGI script"
".gif","image/gif","Graphics Interchange Format"
".jpg","image/jpeg","Joint Photographic Experts Group"
".swf","application/x-shockwave-flash","Adobe Flash"
".xml","application/xml","Extensible Markup Language"
".cfm","text/x-coldfusion","ColdFusion source code"
".xhtml","application/xhtml+xml",""
".wmv","video/x-ms-wmv",""
".zip","application/zip","Compressed Archive File"
".gz","application/gzip","Gzip Compressed Archive"
".png","image/png","Portable Network Graphics"
".doc","application/msword","Microsoft Word Document"
".jsp","text/x-jsp","Java Server Page"
".ico","image/vnd.microsoft.icon",""
".exe","application/x-dosexec","DOS/Windows executable (EXE)"
".config","text/x-config",""
".jpeg","image/jpeg","Joint Photographic Experts Group"
".log","text/x-log","application log"
".xls","application/vnd.ms-excel","Microsoft Excel Spreadsheet"
".mp3","audio/mpeg","MPEG-1 Audio Layer 3"
".com","application/x-msdownload",""
".tar","application/x-tar",""
".ini","text/x-ini","Configuration file"
".tgz","application/gzip","Gzip Compressed Archive"
".flv","video/x-flv",""
".php3","text/x-php","PHP script"
".rar","application/x-rar-compressed","RAR archive"
".xlsx","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","Office Open XML Workbook"
".dll","application/x-msdownload",""
".msg","application/vnd.ms-outlook","Microsoft Outlook Message"
".pl","text/x-perl","Perl script"
".csv","text/csv",""
".ppt","application/vnd.ms-powerpoint","Microsoft Powerpoint Presentation"
".nsf","application/vnd.lotus-notes",""
".bmp","image/bmp","Windows bitmap"
".sql","text/x-sql","SQL code"
".avi","video/x-msvideo","Audio Video Interleave File"
".psd","image/vnd.adobe.photoshop","Photoshop Image"
".rss","application/rss+xml",""
".wav","audio/vnd.wave",""
".do","application/x-stata-do","Stata DTA Script"
".xsl","application/xml","Extensible Markup Language"
".class","application/java-vm","Java Class File"
".mdb","application/x-msaccess",""
".cs","text/x-csharp","C# source code"
".htc","text/plain",""
".mov","video/quicktime","QuickTime Video"
".tpl","application/vnd.groove-tool-template",""
".mpg","video/mpeg","MPEG Movie Clip"
".rdf","application/rdf+xml","XML syntax for RDF graphs"
".rtf","application/rtf","Rich Text Format File"
".jar","application/java-archive","Java Archive"
".vb","text/x-vbdotnet","VB.NET source code"
".mp4","video/mp4",""
".docx","application/vnd.openxmlformats-officedocument.wordprocessingml.document","Office Open XML Document"
".cfg","text/x-config",""
".cfc","text/x-coldfusion","ColdFusion source code"
".ttf","application/x-font-ttf","TrueType Font"
".mpeg","video/mpeg","MPEG Movie Clip"
".php4","text/x-php","PHP script"
".vcf","text/x-vcard",""
".tif","image/tiff","Tagged Image File Format"
".dir","application/x-director","Shockwave Movie"
".json","application/json",""
".wma","audio/x-ms-wma",""
